timestamp,user,source_ip,action,status,reason
2026-01-24 04:13:26,root,122.237.181.55,login_failed,failed,High failed login attempts (41); Access during unusual hours (night); Failed operation
2026-01-25 10:54:26,administrator,239.72.189.143,login_failed,failed,High failed login attempts (31); Failed operation
2026-01-25 22:36:26,user2,10.0.0.51,data_transfer,success,"Large data transfer (87,933,150 bytes)"
2026-01-25 07:56:26,admin,10.0.0.50,data_transfer,success,"Large data transfer (75,534,828 bytes)"
2026-01-25 01:15:26,user2,192.168.1.100,data_transfer,success,"Large data transfer (78,015,259 bytes); Access during unusual hours (night)"
2026-01-25 23:44:26,unknown,215.196.91.18,login_failed,failed,High failed login attempts (25); Failed operation
2026-01-24 05:50:26,unknown,122.149.217.84,login_failed,failed,High failed login attempts (26); Access during unusual hours (night); Failed operation
2026-01-26 06:23:26,administrator,67.250.152.254,login_failed,failed,High failed login attempts (46); Failed operation
2026-01-25 19:28:26,unknown,239.254.68.40,login_failed,failed,High failed login attempts (20); Failed operation
2026-01-27 00:55:26,administrator,225.18.113.251,login_failed,failed,High failed login attempts (45); Access during unusual hours (night); Failed operation
2026-01-25 15:15:26,user1,192.168.1.102,data_transfer,success,"Large data transfer (53,484,059 bytes)"
2026-01-24 13:49:26,root,208.227.30.202,login_failed,failed,High failed login attempts (42); Failed operation
2026-01-24 18:45:26,webadmin,192.168.1.100,data_transfer,success,"Large data transfer (98,924,540 bytes)"
2026-01-25 11:44:26,webadmin,10.0.0.51,data_transfer,success,"Large data transfer (19,079,860 bytes)"
2026-01-24 02:03:26,root,102.93.197.73,login_failed,failed,High failed login attempts (6); Access during unusual hours (night); Failed operation
2026-01-25 12:14:26,root,225.116.38.253,login_failed,failed,High failed login attempts (19); Failed operation
2026-01-26 04:31:26,unknown,63.235.239.236,login_failed,failed,High failed login attempts (39); Access during unusual hours (night); Failed operation
2026-01-24 12:27:26,user2,10.0.0.50,data_transfer,success,"Large data transfer (71,394,671 bytes)"
2026-01-24 01:41:26,admin,192.168.1.101,data_transfer,success,"Large data transfer (20,698,216 bytes); Access during unusual hours (night)"
2026-01-24 06:52:26,administrator,132.173.90.28,login_failed,failed,High failed login attempts (36); Failed operation
2026-01-25 12:03:26,dbadmin,192.168.1.102,data_transfer,success,"Large data transfer (71,912,105 bytes)"
2026-01-24 02:17:26,root,202.212.6.112,login_failed,failed,High failed login attempts (7); Access during unusual hours (night); Failed operation
